utterance,intent
Reply with I'm on it,Messages_Send_message
Send a message to 555-0199,Messages_Send_message
Text Sarah happy birthday,Messages_Send_message
Draft a response to the recruiter,Messages_Send_message
Message the driver asking where are you,Messages_Send_message
Send an email about the invoice,Messages_Send_message
Reply to Mom,Messages_Send_message
Text the kids dinner is ready,Messages_Send_message
Hit up Chris for a ride,Messages_Send_message
Send a quick note to the teacher,Messages_Send_message
Reply to all on that email,Messages_Send_message
Message Sam on Telegram,Messages_Send_message
Text my sister I got the job,Messages_Send_message
Send an SMS to the bank,Messages_Send_message
Email support regarding my account,Messages_Send_message
Let the boss know I'm stuck in traffic,Messages_Send_message
Reply saying no thanks,Messages_Send_message
Send a voice note to Julia,Messages_Send_message
Text the landlord about the heating,Messages_Send_message
Compose an email to the board,Messages_Send_message
Message Ben good luck,Messages_Send_message
Send a text to confirm the appointment,Messages_Send_message
Reply to that email with the attachment,Messages_Send_message
Tell Greg I'm running 10 minutes late,Messages_Send_message
Send a message via Messenger,Messages_Send_message
Text my assistant to cancel the meeting,Messages_Send_message
Email the photos to Grandma,Messages_Send_message
Reply to the group message,Messages_Send_message
Send a text saying I made it home safe,Messages_Send_message
Message the seller asking is this still available,Messages_Send_message
Shoot an email to the department head,Messages_Send_message
Reply with a smiley face,Messages_Send_message
Play Bohemian Rhapsody,Music_Play
Shuffle songs by Taylor Swift,Music_Play
Put on some jazz,Music_Play
Play some workout music,Music_Play
Start my Chill playlist,Music_Play
I want to hear Blinding Lights,Music_Play
Play The Beatles,Music_Play
Play classical music for studying,Music_Play
Queue up Imagine by John Lennon,Music_Play
Play my Liked Songs,Music_Play
Put on some Drake,Music_Play
Play 90s hip hop,Music_Play
Start the Party Mix,Music_Play
Play Despacito,Music_Play
Can you play Smells Like Teen Spirit?,Music_Play
I need some upbeat pop music,Music_Play
Play the latest album by Adele,Music_Play
Resume the Road Trip playlist,Music_Play
Play Shape of You,Music_Play
Put on some relaxing rain sounds,Music_Play
Shuffle Queen,Music_Play
Play country music,Music_Play
Play the Top 50 Global,Music_Play
Put on Rolling in the Deep,Music_Play
I want to listen to Eminem,Music_Play
Start a rock playlist,Music_Play
Play my Gym playlist,Music_Play
Play Mr. Brightside please,Music_Play
Play songs by Ed Sheeran,Music_Play
Play something for a dinner party,Music_Play
Start playing Billie Jean,Music_Play
Mix of Coldplay songs,Music_Play
I want to hear heavy metal,Music_Play
Play the Discover Weekly playlist,Music_Play
Play Beyonce's hits,Music_Play
Play lo-fi beats,Music_Play
Put on my Morning Coffee playlist,Music_Play
Let's hear some Frank Sinatra,Music_Play
Put on some blues,Music_Play
Start the Sleep playlist,Music_Play
Play electronic dance music,Music_Play
I'm in the mood for reggae,Music_Play
Play some sad songs,Music_Play
Play some music,Music_Play
Hit play,Music_Play
Drop the beat,Music_Play
Spin some tunes,Music_Play
Play something I like,Music_Play
Play Hotel California,Music_Play
Play the Rolling Stones,Music_Play
Call Mom mobile,Phone_Make_call
Dial John Smith,Phone_Make_call
Call 911,Phone_Make_call
Call the fire department,Phone_Make_call
FaceTime Sarah,Phone_Make_call
Call Dad on speakerphone,Phone_Make_call
Call the nearest pizza place,Phone_Make_call
Ring the dentist,Phone_Make_call
Call my brother,Phone_Make_call
Dial 555-0199,Phone_Make_call
Call the police immediately,Phone_Make_call
Make a call to Alice,Phone_Make_call
Video call with Mike,Phone_Make_call
Call Susan at work,Phone_Make_call
Phone the pharmacy,Phone_Make_call
Connect me to customer service,Phone_Make_call
Call the closest gas station,Phone_Make_call
Dial emergency services,Phone_Make_call
Call home,Phone_Make_call
Call the office,Phone_Make_call
Ring the plumber,Phone_Make_call
Call Doctor Green,Phone_Make_call
FaceTime Mom,Phone_Make_call
Call the vet,Phone_Make_call
Dial the number for the library,Phone_Make_call
Call Bob on WhatsApp,Phone_Make_call
Put a call through to the boss,Phone_Make_call
Call the local Chinese restaurant,Phone_Make_call
Redial the last number,Phone_Make_call
Call my wife,Phone_Make_call
Call the school,Phone_Make_call
Dial the support line,Phone_Make_call
Call 1-800-555-0100,Phone_Make_call
Call the electrician,Phone_Make_call
Make a speaker call to grandma,Phone_Make_call
Call the front desk,Phone_Make_call
Phone the insurance company,Phone_Make_call
Call the bank,Phone_Make_call
Dial the landlord,Phone_Make_call
Call emergency contact,Phone_Make_call
Call the tow truck,Phone_Make_call
Ring the hair salon,Phone_Make_call
Call the nearest hospital,Phone_Make_call
Call Jane Doe,Phone_Make_call
Dial the conference line,Phone_Make_call
Call my husband,Phone_Make_call
Video chat with Sam,Phone_Make_call
Call the gym,Phone_Make_call
Call the taxi service,Phone_Make_call
Give David a ring,Phone_Make_call
Show me photos from last summer,Photos_Search_photos
Pictures from December 2021,Photos_Search_photos
Find photos of my dog,Photos_Search_photos
Show me pictures of Dad,Photos_Search_photos
Photos taken in Paris,Photos_Search_photos
Show me my beach pictures,Photos_Search_photos
Pull up my selfies,Photos_Search_photos
Show me the last photo I took,Photos_Search_photos
Find pictures from yesterday,Photos_Search_photos
Show photos of the cat,Photos_Search_photos
Display photos from my birthday,Photos_Search_photos
Search for photos of mountains,Photos_Search_photos
Show me pictures from the weekend,Photos_Search_photos
Find photos of Sarah,Photos_Search_photos
Show me photos taken in New York,Photos_Search_photos
Pictures of food,Photos_Search_photos
Show me my screenshots,Photos_Search_photos
Find photos from 2019,Photos_Search_photos
Show me pictures of the baby,Photos_Search_photos
Photos from the road trip,Photos_Search_photos
Show me photos of sunsets,Photos_Search_photos
Find pictures taken at home,Photos_Search_photos
Show me photos of Mom,Photos_Search_photos
Pull up pictures from Hawaii,Photos_Search_photos
Show me the latest photos,Photos_Search_photos
Find photos of receipts,Photos_Search_photos
Show me pictures of flowers,Photos_Search_photos
Photos from last Christmas,Photos_Search_photos
Show me photos of my friends,Photos_Search_photos
Find pictures of snow,Photos_Search_photos
Show me photos taken at the park,Photos_Search_photos
Show me my favorites,Photos_Search_photos
Find photos of the wedding,Photos_Search_photos
Show me pictures from Tokyo,Photos_Search_photos
Photos of the concert,Photos_Search_photos
Show me pictures of cars,Photos_Search_photos
Find photos from last week,Photos_Search_photos
Show me photos of the garden,Photos_Search_photos
Pictures from the hiking trip,Photos_Search_photos
Show me photos of grandma,Photos_Search_photos
Find photos taken in London,Photos_Search_photos
Show me my vacation photos,Photos_Search_photos
Pull up the album from the zoo,Photos_Search_photos
Show me pictures of the ocean,Photos_Search_photos
Find photos from this morning,Photos_Search_photos
Show me pictures of trees,Photos_Search_photos
Photos of documents,Photos_Search_photos
Show me pictures of people smiling,Photos_Search_photos
Find photos from July 4th,Photos_Search_photos
Show me all my photos,Photos_Search_photos
Remind me to take out the trash,Rem_Set_reminder
Put milk on my shopping list,Rem_Set_reminder
Remind me to buy eggs,Rem_Set_reminder
Remind me to call John in 10 minutes,Rem_Set_reminder
Remind me to check the mail when I get home,Rem_Set_reminder
Set a reminder to pay the electric bill,Rem_Set_reminder
Remind me to water the plants tomorrow morning,Rem_Set_reminder
Alert me in 30 minutes to check the oven,Rem_Set_reminder
Remind me to pick up the dry cleaning,Rem_Set_reminder
Remind me to feed the dog at 5 PM,Rem_Set_reminder
Add a reminder to call the dentist,Rem_Set_reminder
Remind me to buy a birthday gift for Mom,Rem_Set_reminder
Remind me when I leave work to get gas,Rem_Set_reminder
Set a reminder for 9 AM to take my vitamins,Rem_Set_reminder
Remind me to defrost the chicken,Rem_Set_reminder
Don't let me forget to lock the door,Rem_Set_reminder
Remind me to submit the timesheet on Friday,Rem_Set_reminder
Remind me to pick up the kids from school,Rem_Set_reminder
Remind me in an hour to stretch,Rem_Set_reminder
Remind me to grab my umbrella,Rem_Set_reminder
Create a reminder to book flights,Rem_Set_reminder
Remind me to email the boss,Rem_Set_reminder
Remind me to charge my phone,Rem_Set_reminder
Set a reminder to renew my subscription,Rem_Set_reminder
Remind me to take the car for service,Rem_Set_reminder
Remind me to buy bread when I'm at the store,Rem_Set_reminder
Remind me to turn off the sprinklers in 20 minutes,Rem_Set_reminder
Remind me to clean the litter box,Rem_Set_reminder
Remind me to print the tickets,Rem_Set_reminder
Remind me to RSVP to the party,Rem_Set_reminder
Remind me to get cash from the ATM,Rem_Set_reminder
Set a reminder to study for the exam,Rem_Set_reminder
Remind me to update my software,Rem_Set_reminder
Remind me to call my sister later,Rem_Set_reminder
Remind me to change the air filter,Rem_Set_reminder
Remind me to pack a lunch,Rem_Set_reminder
Remind me to take the roast out of the freezer,Rem_Set_reminder
Remind me to call the plumber,Rem_Set_reminder
Remind me to check the tire pressure,Rem_Set_reminder
Remind me to write a thank you note,Rem_Set_reminder
Remind me to do the laundry,Rem_Set_reminder
Remind me to take out the recycling,Rem_Set_reminder
Set a reminder to file my taxes,Rem_Set_reminder
Remind me to buy batteries,Rem_Set_reminder
Remind me to schedule a haircut,Rem_Set_reminder
Remind me to check the stock market,Rem_Set_reminder
Remind me to put the bins out,Rem_Set_reminder
Remind me to text Mike back,Rem_Set_reminder
Remind me to start the dishwasher,Rem_Set_reminder
Remind me to go for a run,Rem_Set_reminder
